Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,PV,Day_Perc_Change,Trend,mean,STD,Upper,Lower
2018-09-21,HINDUNILVR,EQ,1647.1,1651.0,1656.9,1606.3,1630.9,1621.3,1625.59,3032792,4930084232.05,104190,1880178,61.99,2018,9,4917065669.599999,-1.5663894116932808,Negative,1641.810714285714,48.68264648396273,1739.1760072536395,1544.4454213177887
2018-09-24,HINDUNILVR,EQ,1621.3,1622.05,1639.5,1564.1,1593.0,1590.45,1605.21,1817390,2917283752.15,81146,995678,54.79,2018,9,2890467925.5,-1.9027940541540669,Negative,1628.2642857142857,30.070324168614178,1688.4049340515141,1568.1236373770573
2018-09-25,HINDUNILVR,EQ,1590.45,1600.0,1640.0,1577.05,1638.0,1630.85,1615.46,1229970,1986972033.1,60738,636403,51.74,2018,9,2005896574.5,2.540161589487244,Positive,1623.3892857142857,22.20738943697645,1667.8040645882386,1578.9745068403329
2018-09-26,HINDUNILVR,EQ,1630.85,1644.4,1649.0,1598.0,1610.0,1610.75,1610.72,980726,1579677471.9,61278,465915,47.51,2018,9,1579704404.5,-1.23248612686635,Negative,1620.5,20.90386419929749,1662.307728398595,1578.692271601405
2018-09-27,HINDUNILVR,EQ,1610.75,1610.0,1625.0,1603.2,1617.8,1620.1,1617.39,1572603,2543507435.85,58406,945753,60.14,2018,9,2547774120.3,0.5804749340369231,Slight Positive,1621.1,20.751848851858114,1662.603697703716,1579.5963022962837
2018-09-28,HINDUNILVR,EQ,1620.1,1620.1,1627.3,1600.05,1605.7,1608.4,1611.94,1735076,2796845949.1,86109,1212065,69.86,2018,9,2790696238.4,-0.7221776433553373,Slight Negative,1621.0857142857144,20.761182608364027,1662.6080795024425,1579.5633490689863
2018-10-01,HINDUNILVR,EQ,1608.4,1606.5,1652.4,1601.6,1645.0,1642.3,1627.99,1721675,2802873929.25,42960,1063832,61.79,2018,10,2827506852.5,2.107684655558306,Positive,1621.3392857142858,21.013669347633776,1663.3666244095534,1579.3119470190181
2018-10-03,HINDUNILVR,EQ,1642.3,1642.0,1642.05,1606.65,1619.05,1618.85,1625.03,1213562,1972080505.15,66692,668988,55.13,2018,10,1964574843.7,-1.4278755404006582,Negative,1621.95,20.791224110213786,1663.5324482204276,1580.3675517795725
2018-10-04,HINDUNILVR,EQ,1618.85,1600.0,1602.8,1562.1,1582.4,1573.95,1580.24,1544573,2440793507.95,71821,882914,57.16,2018,10,2431080673.35,-2.773573833276699,Negative,1620.7571428571428,23.07840196728903,1666.9139467917207,1574.6003389225648
2018-10-05,HINDUNILVR,EQ,1573.95,1559.5,1574.85,1528.6,1554.0,1558.55,1550.21,1638027,2539286070.4,73851,835073,50.98,2018,10,2552946980.85,-0.9784300644874456,Slight Negative,1615.8785714285714,28.316023693367033,1672.5106188153054,1559.2465240418373
2018-10-08,HINDUNILVR,EQ,1558.55,1551.0,1570.4,1537.1,1560.0,1559.35,1558.57,1998863,3115360680.4,96128,1280225,64.05,2018,10,3116927019.05,0.051329761637419764,Slight or No Change,1610.8821428571428,31.73109132372415,1674.344325504591,1547.4199602096944
2018-10-09,HINDUNILVR,EQ,1559.35,1563.0,1570.0,1492.5,1507.0,1512.45,1522.0,1562134,2377570224.55,66832,734437,47.01,2018,10,2362649568.3,-3.0076634495142085,Among Top Losers,1604.2392857142856,41.25977822833818,1686.758842170962,1521.7197292576093
2018-10-10,HINDUNILVR,EQ,1512.45,1512.5,1543.2,1490.55,1523.05,1527.65,1517.7,2294071,3481720482.85,95139,1183071,51.57,2018,10,3504537563.15,1.0049919005586938,Positive,1594.4321428571427,42.029667210498644,1678.4914772781399,1510.3728084361455
2018-10-11,HINDUNILVR,EQ,1527.65,1490.0,1540.0,1477.2,1537.1,1526.1,1499.63,1823960,2735267035.5,108518,1066711,58.48,2018,10,2783545356.0,-0.10146303145355252,Slight or No Change,1585.7892857142856,42.80007269302873,1671.389431100343,1500.1891403282282
2018-10-12,HINDUNILVR,EQ,1526.1,1555.5,1577.5,1540.1,1565.8,1569.6,1560.56,1728063,2696746737.2,78027,759084,43.93,2018,10,2712367684.8,2.8504029880086486,Positive,1582.0964285714285,41.71714489957927,1665.530718370587,1498.66213877227
2018-10-15,HINDUNILVR,EQ,1569.6,1549.7,1592.95,1500.0,1530.55,1526.3,1521.84,3913322,5955442475.1,119926,1124755,28.74,2018,10,5972903368.599999,-2.7586646279306852,Negative,1577.5142857142855,44.179421891672355,1665.8731294976303,1489.1554419309407
2018-10-16,HINDUNILVR,EQ,1526.3,1535.7,1557.55,1526.5,1547.5,1546.2,1543.19,1374834,2121632897.35,53801,636842,46.32,2018,10,2125768330.8,1.3038065911026742,Positive,1571.4678571428572,42.060152013083425,1655.588161169024,1487.3475531166903
2018-10-17,HINDUNILVR,EQ,1546.2,1558.1,1577.8,1546.05,1564.0,1562.0,1564.12,1223188,1913208145.55,49892,553256,45.23,2018,10,1910619656.0,1.0218600439787728,Positive,1567.9857142857143,40.548671744223924,1649.0830577741622,1486.8883707972664
2018-10-19,HINDUNILVR,EQ,1562.0,1551.2,1585.75,1543.05,1578.75,1578.4,1570.69,932433,1464564005.6,60944,357867,38.38,2018,10,1471752247.2,1.049935979513461,Positive,1565.007142857143,37.86909058822329,1640.7453240335894,1489.2689616806965
2018-10-22,HINDUNILVR,EQ,1578.4,1588.0,1590.0,1566.6,1584.0,1584.9,1582.54,614209,972007309.35,47091,250971,40.86,2018,10,973459844.1,0.4118094272681283,Slight or No Change,1563.3285714285716,36.285432096347144,1635.8994356212659,1490.7577072358774
2018-10-23,HINDUNILVR,EQ,1584.9,1575.55,1582.0,1547.5,1562.5,1552.05,1562.87,989355,1546231279.1,37654,556583,56.26,2018,10,1535528427.75,-2.0726859738784853,Negative,1556.882142857143,28.31845421102872,1613.5190512792003,1500.2452344350856
2018-10-24,HINDUNILVR,EQ,1552.05,1562.0,1591.0,1552.4,1586.0,1585.95,1572.51,690618,1086000902.95,42625,287106,41.57,2018,10,1095285617.1,2.1842079829902383,Positive,1554.532142857143,23.782286614083883,1602.0967160853108,1506.9675696289753
2018-10-25,HINDUNILVR,EQ,1585.95,1574.0,1591.75,1552.65,1569.2,1571.55,1569.01,2397242,3761300084.0,71872,1554529,64.85,2018,10,3767385665.1,-0.9079731391279712,Slight Negative,1554.3607142857145,23.639774001377237,1601.6402622884689,1507.08116628296
2018-10-26,HINDUNILVR,EQ,1571.55,1567.1,1579.5,1549.95,1551.0,1558.25,1566.91,1049382,1644286680.7,53762,619557,59.04,2018,10,1635199501.5,-0.8462982405904929,Slight Negative,1554.339285714286,23.635820099147566,1601.610925912581,1507.067645515991
2018-10-29,HINDUNILVR,EQ,1558.25,1559.45,1559.45,1522.0,1553.9,1552.9,1538.93,1478828,2275807439.5,63350,909917,61.53,2018,10,2296472001.2000003,-0.3433338681212872,Slight or No Change,1553.8785714285718,23.59346156401079,1601.0654945565934,1506.6916483005502
2018-10-30,HINDUNILVR,EQ,1552.9,1553.9,1603.6,1542.45,1582.2,1593.05,1581.09,1366068,2159873912.2,64913,661782,48.44,2018,10,2176214627.4,2.585485221199036,Positive,1559.6357142857146,22.51583569721292,1604.6673856801403,1514.6040428912888
2018-10-31,HINDUNILVR,EQ,1593.05,1593.0,1624.0,1561.95,1617.0,1621.7,1603.21,1478902,2370995111.45,89360,764961,51.72,2018,10,2398335373.4,1.7984369605473782,Positive,1566.3535714285717,25.99939691821588,1618.3523652650035,1514.35477759214
2018-11-01,HINDUNILVR,EQ,1621.7,1624.5,1624.5,1583.55,1605.35,1607.65,1597.61,1037308,1657214372.4,54929,495026,47.72,2018,11,1667628206.2,-0.8663747918850606,Slight Negative,1572.178571428572,25.415937718505315,1623.0104468655827,1521.3466959915613
2018-11-02,HINDUNILVR,EQ,1607.65,1610.7,1648.2,1608.25,1639.0,1638.45,1635.23,1332970,2179715652.15,75030,835980,62.72,2018,11,2184004696.5,1.9158398905234408,Positive,1577.0964285714292,30.939478541479037,1638.9753856543873,1515.2174714884711
2018-11-05,HINDUNILVR,EQ,1638.45,1635.0,1647.0,1610.0,1643.75,1640.05,1626.11,764645,1243394731.5,54951,357457,46.75,2018,11,1254056032.25,0.0976532698587107,Slight or No Change,1585.2214285714292,31.504485115910864,1648.2303988032509,1522.2124583396076
2018-11-06,HINDUNILVR,EQ,1640.05,1650.0,1654.0,1620.1,1626.45,1631.95,1634.23,656676,1073160456.15,36118,287977,43.85,2018,11,1071662398.2,-0.4938873814822609,Slight or No Change,1591.3464285714292,31.669680139069413,1654.685788849568,1528.0070682932903
2018-11-07,HINDUNILVR,EQ,1631.95,1640.0,1646.95,1634.4,1644.8,1643.85,1642.77,114827,188634257.25,4143,51096,44.5,2018,11,188758363.95,0.7291890070161289,Slight Positive,1597.1928571428577,33.3460576446549,1663.8849724321676,1530.5007418535479
2018-11-09,HINDUNILVR,EQ,1643.85,1650.0,1680.0,1638.3,1670.15,1672.6,1666.33,1125863,1876059258.45,72263,694611,61.7,2018,11,1883118453.8,1.7489430300818176,Positive,1603.921428571429,38.38540244520324,1680.6922334618355,1527.1506236810226
2018-11-12,HINDUNILVR,EQ,1672.6,1672.0,1681.95,1649.2,1656.0,1654.3,1667.56,805817,1343744419.75,45310,444458,55.16,2018,11,1333063063.1,-1.0941049862489558,Negative,1608.8785714285716,40.17927955421303,1689.2371305369977,1528.5200123201455
2018-11-13,HINDUNILVR,EQ,1654.3,1644.1,1678.6,1636.55,1669.55,1671.1,1659.66,673435,1117673070.1,40139,211256,31.37,2018,11,1125377228.5,1.0155352717161392,Positive,1617.382142857143,39.82320355282708,1697.0285499627971,1537.7357357514888
2018-11-14,HINDUNILVR,EQ,1671.1,1672.0,1739.5,1668.05,1706.0,1715.5,1717.8,1780843,3059138070.15,75850,654948,36.78,2018,11,3055036166.5,2.656932559392033,Positive,1626.6357142857144,46.456656509773225,1719.5490273052608,1533.722401266168
2018-11-15,HINDUNILVR,EQ,1715.5,1717.75,1728.4,1696.65,1700.95,1706.05,1710.7,997169,1705857384.05,56084,464790,46.61,2018,11,1701220172.45,-0.5508598076362614,Slight Negative,1636.2428571428572,48.067984136036216,1732.3788254149297,1540.1068888707848
2018-11-16,HINDUNILVR,EQ,1706.05,1704.9,1718.0,1683.3,1693.0,1689.1,1695.82,1071547,1817152289.35,53532,684917,63.92,2018,11,1809950037.7,-0.9935230503209214,Slight Negative,1645.5892857142858,44.31089108427481,1734.2110678828353,1556.9675035457362
2018-11-19,HINDUNILVR,EQ,1689.1,1693.3,1707.0,1677.0,1705.1,1701.4,1693.34,910054,1541032367.35,44237,490516,53.9,2018,11,1548365875.6,0.7281984488781035,Slight Positive,1656.1964285714287,37.69644680403589,1731.5893221795004,1580.803534963357
2018-11-20,HINDUNILVR,EQ,1701.4,1701.0,1709.9,1685.05,1695.0,1694.0,1699.17,740827,1258793985.85,51883,324482,43.8,2018,11,1254960938.0,-0.4349359351122684,Slight or No Change,1663.4071428571428,34.17939582412572,1731.7659345053944,1595.0483512088913
2018-11-21,HINDUNILVR,EQ,1694.0,1690.05,1706.0,1678.7,1692.9,1689.95,1690.74,932133,1575992049.15,34918,480574,51.56,2018,11,1575258163.35,-0.23907910271546706,Slight or No Change,1668.2821428571428,32.60406184668207,1733.490266550507,1603.0740191637788
2018-11-22,HINDUNILVR,EQ,1689.95,1692.9,1703.7,1663.0,1675.0,1675.1,1683.93,808599,1361624987.2,37443,305930,37.83,2018,11,1354484184.9,-0.8787242226101499,Slight Negative,1673.1,27.54658292366602,1728.193165847332,1618.0068341526678
2018-11-26,HINDUNILVR,EQ,1675.1,1678.1,1750.0,1678.1,1740.0,1744.0,1727.56,2314140,3997809237.6,85891,737424,31.87,2018,11,4035860160.0,4.113187272401664,Among Top Gainers,1680.6392857142855,31.49481140768396,1743.6289085296535,1617.6496628989175
2018-11-27,HINDUNILVR,EQ,1744.0,1738.9,1741.5,1709.25,1730.8,1733.3,1725.98,1592918,2749346055.4,90395,910042,57.13,2018,11,2761004769.4,-0.6135321100917412,Slight Negative,1687.2999999999997,32.105055916254166,1751.510111832508,1623.0898881674914
2018-11-28,HINDUNILVR,EQ,1733.3,1731.0,1748.0,1716.75,1737.45,1732.2,1732.38,1205956,2089176907.65,55112,629162,52.17,2018,11,2088956983.2,-0.06346275889920205,Slight or No Change,1694.4607142857142,29.91536252222879,1754.2914393301717,1634.6299892412567
2018-11-29,HINDUNILVR,EQ,1732.2,1745.9,1780.0,1737.5,1774.45,1768.5,1763.68,1936534,3415426622.55,79305,937875,48.43,2018,11,3424760379.0,2.0956009698649187,Positive,1703.3642857142856,32.15900058587857,1767.6822868860427,1639.0462845425286
2018-11-30,HINDUNILVR,EQ,1768.5,1770.95,1798.3,1742.25,1774.3,1754.0,1763.32,2373749,4185668861.55,84072,1335813,56.27,2018,11,4163555746.0,-0.8199038733389896,Slight Negative,1709.1785714285713,33.49956207686732,1776.177695582306,1642.1794472748368
2018-12-03,HINDUNILVR,EQ,1754.0,1769.5,1838.3,1748.05,1836.0,1825.6,1794.19,4310053,7733058276.9,137726,1486187,34.48,2018,12,7868432756.799998,4.082098061573537,Among Top Gainers,1721.4142857142856,42.09438309220529,1805.603051898696,1637.225519529875
2018-12-04,HINDUNILVR,EQ,1825.6,1835.0,1848.95,1801.0,1811.0,1807.65,1817.21,3155914,5734950766.85,133167,1397705,44.29,2018,12,5704787942.1,-0.9832383873794814,Slight Negative,1731.1678571428572,45.24157638188296,1821.6510099066231,1640.6847043790913
2018-12-05,HINDUNILVR,EQ,1807.65,1803.0,1854.8,1788.0,1852.0,1848.1,1826.46,2847336,5200551572.95,109627,973401,34.19,2018,12,5262161661.599999,2.2377119464497937,Positive,1740.6392857142857,54.61764711496562,1849.874579944217,1631.4039914843545
2018-12-06,HINDUNILVR,EQ,1848.1,1840.0,1847.0,1797.65,1799.0,1801.5,1815.81,2399579,4357185526.7,144275,1009472,42.07,2018,12,4322841568.5,-2.5215085763757306,Negative,1747.457142857143,55.90994082913865,1859.2770245154204,1635.6372611988656
2018-12-07,HINDUNILVR,EQ,1801.5,1801.3,1832.75,1792.1,1825.15,1824.3,1811.81,1774240,3214584334.2,74960,783922,44.18,2018,12,3236746032.0,1.2656119900083196,Positive,1757.1142857142859,56.72511459992781,1870.5645149141415,1643.6640565144303
2018-12-10,HINDUNILVR,EQ,1824.3,1796.8,1815.0,1790.0,1800.0,1795.8,1802.24,1216028,2191574721.75,72293,548580,45.11,2018,12,2183743082.4,-1.562243052129586,Negative,1763.857142857143,55.182619397033065,1874.222381651209,1653.4919040630768
2018-12-11,HINDUNILVR,EQ,1795.8,1781.0,1819.9,1770.1,1795.7,1794.9,1795.87,2237806,4018805765.6,122001,1239189,55.38,2018,12,4016637989.4,-0.0501169395255574,Slight or No Change,1771.064285714286,51.84519645642917,1874.7546786271444,1667.3738928014275
