,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,PV,Day_Perc_Change,Trend
340,HINDUNILVR,EQ,2018-09-25,1590.45,1600.0,1640.0,1577.05,1638.0,1630.85,1615.46,1229970,1986972033.1,60738,636403,51.74,2018,9,2005896574.5,2.5401615894872442,Positive
341,HINDUNILVR,EQ,2018-09-26,1630.85,1644.4,1649.0,1598.0,1610.0,1610.75,1610.72,980726,1579677471.9,61278,465915,47.51,2018,9,1579704404.5,-1.23248612686635,Negative
342,HINDUNILVR,EQ,2018-09-27,1610.75,1610.0,1625.0,1603.2,1617.8,1620.1,1617.39,1572603,2543507435.85,58406,945753,60.14,2018,9,2547774120.2999997,0.5804749340369231,Slight Positive
343,HINDUNILVR,EQ,2018-09-28,1620.1,1620.1,1627.3,1600.05,1605.7,1608.4,1611.94,1735076,2796845949.1,86109,1212065,69.86,2018,9,2790696238.4,-0.7221776433553373,Slight Negative
344,HINDUNILVR,EQ,2018-10-01,1608.4,1606.5,1652.4,1601.6,1645.0,1642.3,1627.99,1721675,2802873929.25,42960,1063832,61.79,2018,10,2827506852.5,2.107684655558306,Positive
345,HINDUNILVR,EQ,2018-10-03,1642.3,1642.0,1642.05,1606.65,1619.05,1618.85,1625.03,1213562,1972080505.15,66692,668988,55.13,2018,10,1964574843.6999998,-1.4278755404006582,Negative
346,HINDUNILVR,EQ,2018-10-04,1618.85,1600.0,1602.8,1562.1,1582.4,1573.95,1580.24,1544573,2440793507.95,71821,882914,57.16,2018,10,2431080673.35,-2.773573833276699,Negative
347,HINDUNILVR,EQ,2018-10-05,1573.95,1559.5,1574.85,1528.6,1554.0,1558.55,1550.21,1638027,2539286070.4,73851,835073,50.98,2018,10,2552946980.85,-0.9784300644874455,Slight Negative
348,HINDUNILVR,EQ,2018-10-08,1558.55,1551.0,1570.4,1537.1,1560.0,1559.35,1558.57,1998863,3115360680.4,96128,1280225,64.05,2018,10,3116927019.0499997,0.05132976163741976,Slight or No Change
349,HINDUNILVR,EQ,2018-10-09,1559.35,1563.0,1570.0,1492.5,1507.0,1512.45,1522.0,1562134,2377570224.55,66832,734437,47.01,2018,10,2362649568.3,-3.0076634495142085,Among Top Losers
350,HINDUNILVR,EQ,2018-10-10,1512.45,1512.5,1543.2,1490.55,1523.05,1527.65,1517.7,2294071,3481720482.85,95139,1183071,51.57,2018,10,3504537563.15,1.0049919005586938,Positive
351,HINDUNILVR,EQ,2018-10-11,1527.65,1490.0,1540.0,1477.2,1537.1,1526.1,1499.63,1823960,2735267035.5,108518,1066711,58.48,2018,10,2783545356.0,-0.10146303145355251,Slight or No Change
352,HINDUNILVR,EQ,2018-10-12,1526.1,1555.5,1577.5,1540.1,1565.8,1569.6,1560.56,1728063,2696746737.2,78027,759084,43.93,2018,10,2712367684.7999997,2.850402988008649,Positive
353,HINDUNILVR,EQ,2018-10-15,1569.6,1549.7,1592.95,1500.0,1530.55,1526.3,1521.84,3913322,5955442475.1,119926,1124755,28.74,2018,10,5972903368.599999,-2.758664627930685,Negative
354,HINDUNILVR,EQ,2018-10-16,1526.3,1535.7,1557.55,1526.5,1547.5,1546.2,1543.19,1374834,2121632897.35,53801,636842,46.32,2018,10,2125768330.8,1.3038065911026742,Positive
355,HINDUNILVR,EQ,2018-10-17,1546.2,1558.1,1577.8,1546.05,1564.0,1562.0,1564.12,1223188,1913208145.55,49892,553256,45.23,2018,10,1910619656.0,1.0218600439787728,Positive
356,HINDUNILVR,EQ,2018-10-19,1562.0,1551.2,1585.75,1543.05,1578.75,1578.4,1570.69,932433,1464564005.6,60944,357867,38.38,2018,10,1471752247.2,1.049935979513461,Positive
